	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
C=	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
T=	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
Mean=	91.19354839	87.25806452	89.70967742	87.64516129	91.74193548	86.74193548	89.25806452	85.58064516	87.83870968	86.93548387	90.19354839	86.41935484	89.16129032	86.64516129	91.25806452	91.93548387	94.09677419	84.70967742	86.61290323	90.06451613
standard deviation=	8.55	9.32	6.41	9.72	9.52	8.22	9.43	7.02	6.66	7.73	9.79	9.03	8.73	9.01	7.45	9.93	9.25	7.73	6.59	8.71
	1-Sep	25-Sep	21-Aug	17-Jul	31-Jul	4-Sep	1-Sep	18-Sep	13-Aug	7-Oct	9-Sep	21-Sep	25-Aug	2-Sep	28-Sep	6-Sep	12-Aug	17-Aug	26-Sep	6-Jul
																				
																				
Day	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St
28-Aug	15	0	16	0	0	3	7	0	26	0	2	0	40	9	1	0	102	9	0	10
29-Aug	15	0	9	0	0	0	11	0	24	0	0	0	38	7	6	0	108	0	0	16
30-Aug	19	0	3	0	1	3	19	0	21	0	0	0	35	12	9	0	119	0	0	29
31-Aug	25	0	0	1	2	5	28	0	19	0	7	0	33	16	8	0	121	0	0	32
1-Sep	34	0	0	0	12	9	31	0	22	0	9	0	38	29	6	0	121	0	0	33
2-Sep	49	0	3	0	20	17	33	0	26	0	11	0	39	35	4	0	123	0	0	30
3-Sep	50	0	12	1	27	28	30	0	30	0	13	0	42	39	0	0	129	0	0	28
4-Sep	54	3	9	0	28	31	21	0	33	0	12	0	44	40	4	9	143	0	2	23
5-Sep	55	7	5	0	36	25	15	0	34	3	16	0	42	40	8	20	149	0	0	23
6-Sep	55	9	3	0	59	20	10	10	38	6	18	0	41	39	6	34	155	0	0	25
7-Sep	54	7	0	0	82	17	8	17	37	7	26	0	38	39	3	54	154	0	0	27
8-Sep	53	3	0	0	95	15	7	19	49	6	30	0	34	35	0	70	157	0	0	30
9-Sep	50	4	8	8	104	13	3	19	49	4	34	0	32	35	0	78	166	0	0	30
10-Sep	54	8	16	5	111	7	0	23	50	4	36	0	31	39	0	83	173	0	0	32
11-Sep	56	10	22	3	116	4	0	25	51	4	39	0	35	47	0	85	181	0	0	33
12-Sep	57	8	25	1	118	4	0	27	55	1	45	0	34	50	0	87	191	0	0	42
13-Sep	67	6	23	0	120	4	11	26	61	0	62	0	34	54	2	87	201	0	0	54
14-Sep	76	3	22	0	123	1	20	26	67	0	69	2	32	55	0	84	209	0	6	64
15-Sep	78	0	22	0	132	8	15	27	78	0	74	4	39	60	0	87	213	0	9	71
16-Sep	84	0	21	4	145	15	13	28	88	0	78	11	45	62	0	104	218	0	7	79
17-Sep	91	0	20	7	161	18	13	30	93	0	80	17	63	72	0	114	226	3	4	84
18-Sep	101	0	25	10	177	20	19	32	99	0	83	21	67	76	0	126	238	6	3	88
19-Sep	110	0	32	16	182	22	25	30	106	0	91	23	72	85	0	138	249	4	3	88
20-Sep	119	0	37	32	183	22	25	26	118	0	105	25	79	88	0	145	261	0	3	86
21-Sep	129	0	41	38	195	20	27	26	127	0	117	30	90	93	0	148	267	9	0	96
22-Sep	137	14	40	51	211	16	37	34	132	0	122	28	92	92	0	157	271	8	2	107
23-Sep	141	19	43	60	219	12	41	35	133	0	124	28	97	93	0	163	281	8	8	113
24-Sep	145	21	48	67	223	27	54	38	136	0	127	23	105	92	0	170	294	19	14	126
25-Sep	146	39	53	70	230	45	71	39	140	0	139	19	109	88	0	171	303	34	20	146
26-Sep	150	53	56	73	251	56	83	39	146	7	148	18	115	87	12	174	308	37	30	162
27-Sep	160	74	55	80	269	65	94	40	158	5	156	17	124	91	20	178	311	40	36	178
28-Sep	173	90	62	84	282	71	101	49	165	4	163	15	124	91	32	188	316	45	45	190
29-Sep	189	97	74	92	298	83	114	66	172	3	180	18	125	103	41	193	324	50	58	200
30-Sep	213	95	86	106	312	96	122	78	177	5	192	22	125	113	53	204	343	55	58	202
1-Oct	235	105	86	117	323	105	126	88	180	6	196	26	137	120	63	228	359	55	55	218
